=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2023-9-13_23-43-9
====================================================================================
23:43:9 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
23:43:9 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
23:43:9 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
23:43:9 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
23:43:9 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
23:43:9 | [PermissionManager] Perm (EspToolsMenu:InstantBaseBuild) has been registered!
23:43:9 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
23:43:9 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
23:43:9 | [PermissionManager] Adding Super Admin (76561199044127723)
23:43:9 | [PermissionManager] Adding Super Admin (76561198138233493)
23:43:9 | [PermissionManager] Adding Super Admin (76561199437572164)
23:43:9 | [PermissionManager] Loaded UserGroups.json
23:43:9 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
23:43:9 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
23:43:9 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
23:43:9 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
23:43:9 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
23:43:9 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
23:43:9 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
23:43:9 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
23:43:9 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
23:43:9 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
23:43:9 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
23:43:9 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
23:43:9 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
23:43:9 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
23:43:9 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
23:43:9 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
23:43:9 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
23:43:9 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
23:43:9 | Building Sets Loaded: 1
23:43:9 | [SteamAPIManager] WARNING couldn't fetch server IP from configs; using cURL...
23:43:9 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
23:47:1 | Player "Onix" (steamId=76561198068355535) connected to server!
23:47:3 | Player "TouchyPriest" (steamId=76561199438093895) connected to server!
23:47:13 | Player "Otis B. Driftwood" (steamId=76561197970990832) connected to server!
23:47:20 | Player "Zweed" (steamId=76561198031782185) connected to server!
23:50:46 | Player "KobbAndy" (steamId=76561197966388745) connected to server!
23:51:7 | Player "Spartikus" (steamId=76561198070332802) connected to server!
0:22:6 | Player "Onix" (steamId=76561198068355535) initiated disconnect process...
0:22:10 | Player "Onix" (steamId=76561198068355535) disconnected early from server (EXIT NOW).
0:22:21 | Player "Onix" (steamId=76561198068355535) disconnected from server.
0:30:55 | Player "Zweed" (steamId=76561198031782185) initiated disconnect process...
0:30:57 | Player "Zweed" (steamId=76561198031782185) disconnected early from server (EXIT NOW).
0:33:42 | Player "Onix" (steamId=76561198068355535) connected to server!
0:44:43 | Player "Otis B. Driftwood" (steamId=76561197970990832) initiated disconnect process...
0:44:58 | Player "Otis B. Driftwood" (steamId=76561197970990832) disconnected from server.
0:57:28 | Player "KobbAndy" (steamId=76561197966388745) initiated disconnect process...
1:2:53 | Player "Spartikus" (steamId=76561198070332802) initiated disconnect process...
1:3:8 | Player "Spartikus" (steamId=76561198070332802) disconnected from server.
1:22:45 | Player "Kyle" (steamId=76561198083203190) connected to server!
1:31:43 | Player "Ludamor" (steamId=76561198076779623) connected to server!
1:39:21 | Player "Kyle" (steamId=76561198083203190) initiated disconnect process...
1:39:36 | Player "Kyle" (steamId=76561198083203190) disconnected from server.
2:0:4 | Player "TouchyPriest" (steamId=76561199438093895) initiated disconnect process...
2:0:19 | Player "TouchyPriest" (steamId=76561199438093895) disconnected from server.
2:6:23 | Player "Onix" (steamId=76561198068355535) initiated disconnect process...
2:6:33 | Player "Ludamor" (steamId=76561198076779623) initiated disconnect process...
2:6:38 | Player "Onix" (steamId=76561198068355535) disconnected from server.
2:6:48 | Player "Ludamor" (steamId=76561198076779623) disconnected from server.
